Location,Full_%,Current_Elevation_ft,Current_Storage_af,Remaining_Elevation_ft,Available_Storage_af,24hr.Change,Rain_inches,Date,Highest_temperature,Lowest_temperature,Highest_humidity,Lowest_humidity
Roosevelt Lake (Roosevelt Dam),65,"2,120.37","1,060,339",30.63,"571,193",158,0.00,2019-11-11,78,54 ,52,21
Apache Lake (Horse Mesa Dam),93,"1,907.88","229,175",6.12,"15,963",-38,0.00,2019-11-11,78,54 ,52,21
Canyon Lake (Mormon Flat Dam),92,"1,655.38","53,062",5.12,"4,790",0,0.00,2019-11-11,78,54 ,52,21
Saguaro Lake (Stewart Mountain Dam),94,"1,525.77","65,751",3.23,"4,014",-37,0.00,2019-11-11,78,54 ,52,21
Total Salt system,70,,"1,408,327",,"595,960",83,,2019-11-11,78,54 ,52,21
Horseshoe Lake (Horseshoe Dam),10,"1,973.37","11,363",52.63,"97,854",31,0.00,2019-11-11,78,54 ,52,21
Bartlett Lake (Bartlett Dam),54,"1,762.36","96,090",35.64,"82,096","-1,482",0.00,2019-11-11,78,54 ,52,21
Total Verde system,37,,"107,453",,"179,950","-1,451",,2019-11-11,78,54 ,52,21
Total Reservoir System,66,,"1,515,780",,"775,910","-1,368",,2019-11-11,78,54 ,52,21
Total system year ago,47,,,,,,,2019-11-11,78,54 ,52,21
Roosevelt Lake (Roosevelt Dam),65,"2,120.38","1,060,496",30.62,"571,036",157,0.00,2019-11-12,77,54 ,52,17
Apache Lake (Horse Mesa Dam),94,"1,907.92","229,272",6.08,"15,866",97,0.00,2019-11-12,77,54 ,52,17
Canyon Lake (Mormon Flat Dam),92,"1,655.38","53,062",5.12,"4,790",0,0.00,2019-11-12,77,54 ,52,17
Saguaro Lake (Stewart Mountain Dam),94,"1,525.76","65,739",3.24,"4,026",-12,0.00,2019-11-12,77,54 ,52,17
Total Salt system,70,,"1,408,569",,"595,718",242,,2019-11-12,77,54 ,52,17
Horseshoe Lake (Horseshoe Dam),10,"1,973.40","11,393",52.60,"97,824",30,0.00,2019-11-12,77,54 ,52,17
Bartlett Lake (Bartlett Dam),53,"1,761.52","94,550",36.48,"83,636","-1,540",0.00,2019-11-12,77,54 ,52,17
Total Verde system,37,,"105,943",,"181,460","-1,510",,2019-11-12,77,54 ,52,17
