Location,Full_%,Current_Elevation_ft,Current_Storage_af,Remaining_Elevation_ft,Available_Storage_af,24hr.Change,Rain_inches,Date,Highest_temperature,Lowest_temperature,Highest_humidity,Lowest_humidity
Total system year ago,56,,,,,,,2014-02-10,70,48 ,54,23
Roosevelt Lake (Roosevelt Dam),48,"2,101.75","791,791",49.25,"861,252",595,0.00,2014-02-11,70,48 ,55,20
Apache Lake (Horse Mesa Dam),94,"1,908.53","230,841",5.47,"14,297",-643,0.00,2014-02-11,70,48 ,55,20
Canyon Lake (Mormon Flat Dam),94,"1,657.09","54,646",3.41,"3,206",-448,0.00,2014-02-11,70,48 ,55,20
Saguaro Lake (Stewart Mountain Dam),94,"1,525.91","65,923",3.09,"3,842","1,119",0.00,2014-02-11,70,48 ,55,20
Total Salt system,56,,"1,143,201",,"882,597",623,,2014-02-11,70,48 ,55,20
Horseshoe Lake (Horseshoe Dam),32,"1,991.32","35,318",34.68,"73,899",666,0.00,2014-02-11,70,48 ,55,20
Bartlett Lake (Bartlett Dam),60,"1,767.98","106,816",30.02,"71,370",-734,0.00,2014-02-11,70,48 ,55,20
Total Verde system,49,,"142,134",,"145,269",-68,,2014-02-11,70,48 ,55,20
Total Reservoir System,56,,"1,285,335",,"1,027,866",555,,2014-02-11,70,48 ,55,20
Total system year ago,56,,,,,,,2014-02-11,70,48 ,55,20
Roosevelt Lake (Roosevelt Dam),48,"2,101.80","792,494",49.20,"860,549",703,0.00,2014-02-12,70,48 ,59,16
Apache Lake (Horse Mesa Dam),94,"1,908.42","230,558",5.58,"14,580",-283,0.00,2014-02-12,70,48 ,59,16
Canyon Lake (Mormon Flat Dam),96,"1,657.74","55,252",2.76,"2,600",606,0.00,2014-02-12,70,48 ,59,16
Saguaro Lake (Stewart Mountain Dam),94,"1,525.64","65,595",3.36,"4,170",-328,0.00,2014-02-12,70,48 ,59,16
Total Salt system,56,,"1,143,899",,"881,899",698,,2014-02-12,70,48 ,59,16
Horseshoe Lake (Horseshoe Dam),33,"1,991.45","35,530",34.55,"73,687",212,0.00,2014-02-12,70,48 ,59,16
Bartlett Lake (Bartlett Dam),60,"1,767.58","106,031",30.42,"72,155",-785,0.00,2014-02-12,70,48 ,59,16
Total Verde system,49,,"141,561",,"145,842",-573,,2014-02-12,70,48 ,59,16
Total Reservoir System,56,,"1,285,460",,"1,027,741",125,,2014-02-12,70,48 ,59,16
Total system year ago,56,,,,,,,2014-02-12,70,48 ,59,16
Roosevelt Lake (Roosevelt Dam),48,"2,101.80","792,483",49.20,"860,560",-11,0.00,2014-02-13,70,48 ,45,12
Apache Lake (Horse Mesa Dam),94,"1,908.33","230,327",5.67,"14,811",-231,0.00,2014-02-13,70,48 ,45,12
Canyon Lake (Mormon Flat Dam),95,"1,657.73","55,243",2.77,"2,609",-9,0.00,2014-02-13,70,48 ,45,12
Saguaro Lake (Stewart Mountain Dam),95,"1,525.98","66,009",3.02,"3,756",414,0.00,2014-02-13,70,48 ,45,12
Total Salt system,56,,"1,144,062",,"881,736",163,,2014-02-13,70,48 ,45,12
Horseshoe Lake (Horseshoe Dam),33,"1,991.71","35,954",34.29,"73,263",424,0.00,2014-02-13,70,48 ,45,12
Bartlett Lake (Bartlett Dam),59,"1,767.16","105,207",30.84,"72,979",-824,0.00,2014-02-13,70,48 ,45,12
Total Verde system,49,,"141,161",,"146,242",-400,,2014-02-13,70,48 ,45,12
Total Reservoir System,56,,"1,285,223",,"1,027,978",-237,,2014-02-13,70,48 ,45,12
Total system year ago,56,,,,,,,2014-02-13,70,48 ,45,12
Roosevelt Lake (Roosevelt Dam),48,"2,101.79","792,343",49.21,"860,700",-140,0.00,2014-02-14,71,49 ,45,13
Apache Lake (Horse Mesa Dam),94,"1,908.70","231,278",5.30,"13,860",951,0.00,2014-02-14,71,49 ,45,13
Canyon Lake (Mormon Flat Dam),95,"1,657.44","54,972",3.06,"2,880",-271,0.00,2014-02-14,71,49 ,45,13
Saguaro Lake (Stewart Mountain Dam),94,"1,525.38","65,278",3.62,"4,487",-731,0.00,2014-02-14,71,49 ,45,13
Total Salt system,56,,"1,143,871",,"881,927",-191,,2014-02-14,71,49 ,45,13
Horseshoe Lake (Horseshoe Dam),33,"1,991.96","36,361",34.04,"72,856",407,0.00,2014-02-14,71,49 ,45,13
Bartlett Lake (Bartlett Dam),59,"1,766.84","104,583",31.16,"73,603",-624,0.00,2014-02-14,71,49 ,45,13
Total Verde system,49,,"140,944",,"146,459",-217,,2014-02-14,71,49 ,45,13
Total Reservoir System,56,,"1,284,815",,"1,028,386",-408,,2014-02-14,71,49 ,45,13
Total system year ago,56,,,,,,,2014-02-14,71,49 ,45,13
Roosevelt Lake (Roosevelt Dam),48,"2,101.79","792,366",49.21,"860,677",23,0.00,2014-02-15,71,49 ,39,12
Apache Lake (Horse Mesa Dam),95,"1,909.35","232,955",4.65,"12,183","1,677",0.00,2014-02-15,71,49 ,39,12
Canyon Lake (Mormon Flat Dam),94,"1,656.95","54,516",3.55,"3,336",-456,0.00,2014-02-15,71,49 ,39,12
Saguaro Lake (Stewart Mountain Dam),92,"1,524.45","64,154",4.55,"5,611","-1,124",0.00,2014-02-15,71,49 ,39,12
Total Salt system,56,,"1,143,991",,"881,807",120,,2014-02-15,71,49 ,39,12
Horseshoe Lake (Horseshoe Dam),34,"1,992.21","36,775",33.79,"72,442",414,0.00,2014-02-15,71,49 ,39,12
Bartlett Lake (Bartlett Dam),58,"1,766.55","104,020",31.45,"74,166",-563,0.00,2014-02-15,71,49 ,39,12
Total Verde system,49,,"140,795",,"146,608",-149,,2014-02-15,71,49 ,39,12
Total Reservoir System,56,,"1,284,786",,"1,028,415",-29,,2014-02-15,71,49 ,39,12
Total system year ago,56,,,,,,,2014-02-15,71,49 ,39,12
Roosevelt Lake (Roosevelt Dam),48,"2,101.84","793,102",49.16,"859,941",736,0.00,2014-02-16,71,49 ,46,10
Apache Lake (Horse Mesa Dam),94,"1,908.81","231,562",5.19,"13,576","-1,393",0.00,2014-02-16,71,49 ,46,10
Canyon Lake (Mormon Flat Dam),95,"1,657.23","54,777",3.27,"3,075",261,0.00,2014-02-16,71,49 ,46,10
Saguaro Lake (Stewart Mountain Dam),93,"1,525.28","65,157",3.72,"4,608","1,003",0.00,2014-02-16,71,49 ,46,10
Total Salt system,57,,"1,144,598",,"881,200",607,,2014-02-16,71,49 ,46,10
Horseshoe Lake (Horseshoe Dam),34,"1,992.46","37,189",33.54,"72,028",414,0.00,2014-02-16,71,49 ,46,10
Bartlett Lake (Bartlett Dam),58,"1,766.25","103,439",31.75,"74,747",-581,0.00,2014-02-16,71,49 ,46,10
Total Verde system,49,,"140,628",,"146,775",-167,,2014-02-16,71,49 ,46,10
Total Reservoir System,56,,"1,285,226",,"1,027,975",440,,2014-02-16,71,49 ,46,10
Total system year ago,56,,,,,,,2014-02-16,71,49 ,46,10
Roosevelt Lake (Roosevelt Dam),48,"2,101.87","793,548",49.13,"859,495",446,0.00,2014-02-17,71,49 ,38,12
Apache Lake (Horse Mesa Dam),95,"1,909.02","232,102",4.98,"13,036",540,0.00,2014-02-17,71,49 ,38,12
Canyon Lake (Mormon Flat Dam),96,"1,658.05","55,542",2.45,"2,310",765,0.00,2014-02-17,71,49 ,38,12
Saguaro Lake (Stewart Mountain Dam),92,"1,524.21","63,865",4.79,"5,900","-1,292",0.00,2014-02-17,71,49 ,38,12
Total Salt system,57,,"1,145,057",,"880,741",459,,2014-02-17,71,49 ,38,12
Horseshoe Lake (Horseshoe Dam),34,"1,992.70","37,587",33.30,"71,630",398,0.00,2014-02-17,71,49 ,38,12
Bartlett Lake (Bartlett Dam),58,"1,766.03","103,012",31.97,"75,174",-427,0.00,2014-02-17,71,49 ,38,12
Total Verde system,49,,"140,599",,"146,804",-29,,2014-02-17,71,49 ,38,12
Total Reservoir System,56,,"1,285,656",,"1,027,545",430,,2014-02-17,71,49 ,38,12
Total system year ago,56,,,,,,,2014-02-17,71,49 ,38,12
Roosevelt Lake (Roosevelt Dam),48,"2,101.90","793,979",49.10,"859,064",431,0.00,2014-02-18,71,49 ,40,9
Apache Lake (Horse Mesa Dam),95,"1,909.23","232,645",4.77,"12,493",543,0.00,2014-02-18,71,49 ,40,9
Canyon Lake (Mormon Flat Dam),95,"1,657.42","54,954",3.08,"2,898",-588,0.00,2014-02-18,71,49 ,40,9
Saguaro Lake (Stewart Mountain Dam),93,"1,525.00","64,816",4.00,"4,949",951,0.00,2014-02-18,71,49 ,40,9
Total Salt system,57,,"1,146,394",,"879,404","1,337",,2014-02-18,71,49 ,40,9
Horseshoe Lake (Horseshoe Dam),35,"1,992.92","37,952",33.08,"71,265",365,0.00,2014-02-18,71,49 ,40,9
Bartlett Lake (Bartlett Dam),57,"1,765.74","102,455",32.26,"75,731",-557,0.00,2014-02-18,71,49 ,40,9
Total Verde system,49,,"140,407",,"146,996",-192,,2014-02-18,71,49 ,40,9
Total Reservoir System,56,,"1,286,801",,"1,026,400","1,145",,2014-02-18,71,49 ,40,9
Total system year ago,56,,,,,,,2014-02-18,71,49 ,40,9
Roosevelt Lake (Roosevelt Dam),48,"2,101.92","794,161",49.08,"858,882",182,0.00,2014-02-19,71,49 ,33,13
Apache Lake (Horse Mesa Dam),95,"1,909.37","233,007",4.63,"12,131",362,0.00,2014-02-19,71,49 ,33,13
Canyon Lake (Mormon Flat Dam),95,"1,657.16","54,711",3.34,"3,141",-243,0.00,2014-02-19,71,49 ,33,13
Saguaro Lake (Stewart Mountain Dam),92,"1,524.23","63,889",4.77,"5,876",-927,0.00,2014-02-19,71,49 ,33,13
Total Salt system,57,,"1,145,768",,"880,030",-626,,2014-02-19,71,49 ,33,13
Horseshoe Lake (Horseshoe Dam),35,"1,993.15","38,337",32.85,"70,880",385,0.00,2014-02-19,71,49 ,33,13
Bartlett Lake (Bartlett Dam),57,"1,765.37","101,746",32.63,"76,440",-709,0.00,2014-02-19,71,49 ,33,13
Total Verde system,49,,"140,083",,"147,320",-324,,2014-02-19,71,49 ,33,13
Total Reservoir System,56,,"1,285,851",,"1,027,350",-950,,2014-02-19,71,49 ,33,13
Total system year ago,56,,,,,,,2014-02-19,71,49 ,33,13
Roosevelt Lake (Roosevelt Dam),48,"2,101.97","794,893",49.03,"858,150",732,0.00,2014-02-20,72,50 ,42,11
Apache Lake (Horse Mesa Dam),95,"1,908.90","231,793",5.10,"13,345","-1,214",0.00,2014-02-20,72,50 ,42,11
Canyon Lake (Mormon Flat Dam),97,"1,658.69","56,142",1.81,"1,710","1,431",0.00,2014-02-20,72,50 ,42,11
Saguaro Lake (Stewart Mountain Dam),92,"1,524.23","63,889",4.77,"5,876",0,0.00,2014-02-20,72,50 ,42,11
Total Salt system,57,,"1,146,717",,"879,081",949,,2014-02-20,72,50 ,42,11
Horseshoe Lake (Horseshoe Dam),35,"1,993.37","38,707",32.63,"70,510",370,0.00,2014-02-20,72,50 ,42,11
Bartlett Lake (Bartlett Dam),57,"1,765.04","101,114",32.96,"77,072",-632,0.00,2014-02-20,72,50 ,42,11
Total Verde system,49,,"139,821",,"147,582",-262,,2014-02-20,72,50 ,42,11
Total Reservoir System,56,,"1,286,538",,"1,026,663",687,,2014-02-20,72,50 ,42,11
Total system year ago,56,,,,,,,2014-02-20,72,50 ,42,11
Roosevelt Lake (Roosevelt Dam),48,"2,101.95","794,600",49.05,"858,443",-293,0.00,2014-02-21,72,50 ,41,5
Apache Lake (Horse Mesa Dam),96,"1,910.14","235,001",3.86,"10,137","3,208",0.00,2014-02-21,72,50 ,41,5
Canyon Lake (Mormon Flat Dam),91,"1,654.90","52,621",5.60,"5,231","-3,521",0.00,2014-02-21,72,50 ,41,5
Saguaro Lake (Stewart Mountain Dam),92,"1,524.23","63,888",4.77,"5,877",-1,0.00,2014-02-21,72,50 ,41,5
Total Salt system,57,,"1,146,110",,"879,688",-607,,2014-02-21,72,50 ,41,5
Horseshoe Lake (Horseshoe Dam),36,"1,993.56","39,027",32.44,"70,190",320,0.00,2014-02-21,72,50 ,41,5
Bartlett Lake (Bartlett Dam),56,"1,764.43","99,958",33.57,"78,228","-1,156",0.00,2014-02-21,72,50 ,41,5
Total Verde system,48,,"138,985",,"148,418",-836,,2014-02-21,72,50 ,41,5
Total Reservoir System,56,,"1,285,095",,"1,028,106","-1,443",,2014-02-21,72,50 ,41,5
Total system year ago,56,,,,,,,2014-02-21,72,50 ,41,5
Roosevelt Lake (Roosevelt Dam),48,"2,101.98","795,017",49.02,"858,026",417,0.00,2014-02-22,72,50 ,26,7
Apache Lake (Horse Mesa Dam),95,"1,909.46","233,240",4.54,"11,898","-1,761",0.00,2014-02-22,72,50 ,26,7
Canyon Lake (Mormon Flat Dam),94,"1,656.62","54,210",3.88,"3,642","1,589",0.00,2014-02-22,72,50 ,26,7
Saguaro Lake (Stewart Mountain Dam),92,"1,524.23","63,889",4.77,"5,876",1,0.00,2014-02-22,72,50 ,26,7
Total Salt system,57,,"1,146,356",,"879,442",246,,2014-02-22,72,50 ,26,7
Horseshoe Lake (Horseshoe Dam),36,"1,993.76","39,364",32.24,"69,853",337,0.00,2014-02-22,72,50 ,26,7
Bartlett Lake (Bartlett Dam),56,"1,763.94","99,031",34.06,"79,155",-927,0.00,2014-02-22,72,50 ,26,7
Total Verde system,48,,"138,395",,"149,008",-590,,2014-02-22,72,50 ,26,7
Total Reservoir System,56,,"1,284,751",,"1,028,450",-344,,2014-02-22,72,50 ,26,7
Total system year ago,56,,,,,,,2014-02-22,72,50 ,26,7
Roosevelt Lake (Roosevelt Dam),48,"2,102.00","795,259",49.00,"857,784",242,0.00,2014-02-23,72,50 ,30,8
Apache Lake (Horse Mesa Dam),95,"1,909.21","232,593",4.79,"12,545",-647,0.00,2014-02-23,72,50 ,30,8
Canyon Lake (Mormon Flat Dam),95,"1,657.46","54,991",3.04,"2,861",781,0.00,2014-02-23,72,50 ,30,8
Saguaro Lake (Stewart Mountain Dam),92,"1,524.23","63,889",4.77,"5,876",0,0.00,2014-02-23,72,50 ,30,8
Total Salt system,57,,"1,146,732",,"879,066",376,,2014-02-23,72,50 ,30,8
Horseshoe Lake (Horseshoe Dam),36,"1,993.96","39,700",32.04,"69,517",336,0.00,2014-02-23,72,50 ,30,8
Bartlett Lake (Bartlett Dam),55,"1,763.54","98,284",34.46,"79,902",-747,0.00,2014-02-23,72,50 ,30,8
Total Verde system,48,,"137,984",,"149,419",-411,,2014-02-23,72,50 ,30,8
Total Reservoir System,56,,"1,284,716",,"1,028,485",-35,,2014-02-23,72,50 ,30,8
Total system year ago,56,,,,,,,2014-02-23,72,50 ,30,8
Roosevelt Lake (Roosevelt Dam),48,"2,102.01","795,449",48.99,"857,594",190,0.00,2014-02-24,72,50 ,28,9
Apache Lake (Horse Mesa Dam),95,"1,909.03","232,128",4.97,"13,010",-465,0.00,2014-02-24,72,50 ,28,9
Canyon Lake (Mormon Flat Dam),96,"1,657.80","55,308",2.70,"2,544",317,0.00,2014-02-24,72,50 ,28,9
Saguaro Lake (Stewart Mountain Dam),92,"1,524.23","63,889",4.77,"5,876",0,0.00,2014-02-24,72,50 ,28,9
Total Salt system,57,,"1,146,774",,"879,024",42,,2014-02-24,72,50 ,28,9
Horseshoe Lake (Horseshoe Dam),37,"1,994.18","40,075",31.82,"69,142",375,0.00,2014-02-24,72,50 ,28,9
Bartlett Lake (Bartlett Dam),55,"1,763.30","97,835",34.70,"80,351",-449,0.00,2014-02-24,72,50 ,28,9
Total Verde system,48,,"137,910",,"149,493",-74,,2014-02-24,72,50 ,28,9
Total Reservoir System,56,,"1,284,684",,"1,028,517",-32,,2014-02-24,72,50 ,28,9
Total system year ago,56,,,,,,,2014-02-24,72,50 ,28,9
Roosevelt Lake (Roosevelt Dam),48,"2,102.07","796,194",48.93,"856,849",745,0.00,2014-02-25,72,50 ,30,10
Apache Lake (Horse Mesa Dam),95,"1,909.14","232,412",4.86,"12,726",284,0.00,2014-02-25,72,50 ,30,10
Canyon Lake (Mormon Flat Dam),95,"1,657.49","55,019",3.01,"2,833",-289,0.00,2014-02-25,72,50 ,30,10
Saguaro Lake (Stewart Mountain Dam),92,"1,524.23","63,889",4.77,"5,876",0,0.00,2014-02-25,72,50 ,30,10
Total Salt system,57,,"1,147,514",,"878,284",740,,2014-02-25,72,50 ,30,10
Horseshoe Lake (Horseshoe Dam),37,"1,994.35","40,365",31.65,"68,852",290,0.00,2014-02-25,72,50 ,30,10
Bartlett Lake (Bartlett Dam),54,"1,762.91","97,108",35.09,"81,078",-727,0.00,2014-02-25,72,50 ,30,10
Total Verde system,48,,"137,473",,"149,930",-437,,2014-02-25,72,50 ,30,10
Total Reservoir System,56,,"1,284,987",,"1,028,214",303,,2014-02-25,72,50 ,30,10
Total system year ago,56,,,,,,,2014-02-25,72,50 ,30,10
Roosevelt Lake (Roosevelt Dam),48,"2,102.10","796,611",48.90,"856,432",417,0.00,2014-02-26,73,51 ,34,18
Apache Lake (Horse Mesa Dam),95,"1,909.08","232,257",4.92,"12,881",-155,0.00,2014-02-26,73,51 ,34,18
Canyon Lake (Mormon Flat Dam),95,"1,657.52","55,047",2.98,"2,805",28,0.00,2014-02-26,73,51 ,34,18
Saguaro Lake (Stewart Mountain Dam),92,"1,524.22","63,877",4.78,"5,888",-12,0.00,2014-02-26,73,51 ,34,18
Total Salt system,57,,"1,147,792",,"878,006",278,,2014-02-26,73,51 ,34,18
Horseshoe Lake (Horseshoe Dam),37,"1,994.56","40,724",31.44,"68,493",359,0.00,2014-02-26,73,51 ,34,18
Bartlett Lake (Bartlett Dam),54,"1,762.62","96,573",35.38,"81,613",-535,0.00,2014-02-26,73,51 ,34,18
Total Verde system,48,,"137,297",,"150,106",-176,,2014-02-26,73,51 ,34,18
Total Reservoir System,56,,"1,285,089",,"1,028,112",102,,2014-02-26,73,51 ,34,18
Total system year ago,57,,,,,,,2014-02-26,73,51 ,34,18
Roosevelt Lake (Roosevelt Dam),48,"2,102.12","796,909",48.88,"856,134",298,0.00,2014-02-27,73,51 ,43,20
Apache Lake (Horse Mesa Dam),95,"1,909.14","232,412",4.86,"12,726",155,0.00,2014-02-27,73,51 ,43,20
Canyon Lake (Mormon Flat Dam),95,"1,657.54","55,066",2.96,"2,786",19,0.00,2014-02-27,73,51 ,43,20
Saguaro Lake (Stewart Mountain Dam),92,"1,524.22","63,876",4.78,"5,889",-1,0.00,2014-02-27,73,51 ,43,20
Total Salt system,57,,"1,148,263",,"877,535",471,,2014-02-27,73,51 ,43,20
Horseshoe Lake (Horseshoe Dam),38,"1,994.77","41,083",31.23,"68,134",359,0.00,2014-02-27,73,51 ,43,20
Bartlett Lake (Bartlett Dam),54,"1,762.36","96,093",35.64,"82,093",-480,0.00,2014-02-27,73,51 ,43,20
Total Verde system,48,,"137,176",,"150,227",-121,,2014-02-27,73,51 ,43,20
Total Reservoir System,56,,"1,285,439",,"1,027,762",350,,2014-02-27,73,51 ,43,20
Total system year ago,57,,,,,,,2014-02-27,73,51 ,43,20
Roosevelt Lake (Roosevelt Dam),48,"2,102.11","796,851",48.89,"856,192",-58,0.00,2014-02-28,73,51 ,51,24
Apache Lake (Horse Mesa Dam),95,"1,909.32","232,878",4.68,"12,260",466,0.00,2014-02-28,73,51 ,51,24
Canyon Lake (Mormon Flat Dam),94,"1,656.87","54,441",3.63,"3,411",-625,0.00,2014-02-28,73,51 ,51,24
Saguaro Lake (Stewart Mountain Dam),92,"1,524.21","63,864",4.79,"5,901",-12,0.00,2014-02-28,73,51 ,51,24
Total Salt system,57,,"1,148,034",,"877,764",-229,,2014-02-28,73,51 ,51,24
Horseshoe Lake (Horseshoe Dam),38,"1,994.98","41,441",31.02,"67,776",358,0.00,2014-02-28,73,51 ,51,24
Bartlett Lake (Bartlett Dam),54,"1,762.09","95,595",35.91,"82,591",-498,0.00,2014-02-28,73,51 ,51,24
Total Verde system,48,,"137,036",,"150,367",-140,,2014-02-28,73,51 ,51,24
Total Reservoir System,56,,"1,285,070",,"1,028,131",-369,,2014-02-28,73,51 ,51,24
Total system year ago,57,,,,,,,2014-02-28,73,51 ,51,24
Roosevelt Lake (Roosevelt Dam),48,"2,102.21","798,151",48.79,"854,892","1,300",1.50,2014-03-01,73,51 ,51,22
Apache Lake (Horse Mesa Dam),95,"1,909.43","233,162",4.57,"11,976",284,0.01,2014-03-01,73,51 ,51,22
Canyon Lake (Mormon Flat Dam),94,"1,656.94","54,506",3.56,"3,346",65,0.12,2014-03-01,73,51 ,51,22
Saguaro Lake (Stewart Mountain Dam),92,"1,524.22","63,877",4.78,"5,888",13,0.00,2014-03-01,73,51 ,51,22
Total Salt system,57,,"1,149,696",,"876,102","1,662",,2014-03-01,73,51 ,51,22
Horseshoe Lake (Horseshoe Dam),38,"1,995.31","42,013",30.69,"67,204",572,0.12,2014-03-01,73,51 ,51,22
Bartlett Lake (Bartlett Dam),53,"1,761.60","94,700",36.40,"83,486",-895,0.04,2014-03-01,73,51 ,51,22
Total Verde system,48,,"136,713",,"150,690",-323,,2014-03-01,73,51 ,51,22
Total Reservoir System,56,,"1,286,409",,"1,026,792","1,339",,2014-03-01,73,51 ,51,22
Total system year ago,57,,,,,,,2014-03-01,73,51 ,51,22
Roosevelt Lake (Roosevelt Dam),48,"2,102.41","800,926",48.59,"852,117","2,775",1.15,2014-03-02,74,51 ,93,41
Apache Lake (Horse Mesa Dam),95,"1,909.33","232,904",4.67,"12,234",-258,2.15,2014-03-02,74,51 ,93,41
Canyon Lake (Mormon Flat Dam),96,"1,658.23","55,711",2.27,"2,141","1,205",1.85,2014-03-02,74,51 ,93,41
Saguaro Lake (Stewart Mountain Dam),92,"1,524.45","64,154",4.55,"5,611",277,2.13,2014-03-02,74,51 ,93,41
Total Salt system,57,,"1,153,695",,"872,103","3,999",,2014-03-02,74,51 ,93,41
Horseshoe Lake (Horseshoe Dam),39,"1,995.53","42,394",30.47,"66,823",381,1.15,2014-03-02,74,51 ,93,41
Bartlett Lake (Bartlett Dam),53,"1,761.77","95,009",36.23,"83,177",309,1.95,2014-03-02,74,51 ,93,41
Total Verde system,48,,"137,403",,"150,000",690,,2014-03-02,74,51 ,93,41
Total Reservoir System,56,,"1,291,098",,"1,022,103","4,689",,2014-03-02,74,51 ,93,41
Total system year ago,57,,,,,,,2014-03-02,74,51 ,93,41
Roosevelt Lake (Roosevelt Dam),49,"2,102.57","803,194",48.43,"849,849","2,268",0.00,2014-03-03,74,51 ,93,44
Apache Lake (Horse Mesa Dam),95,"1,909.59","233,576",4.41,"11,562",672,0.00,2014-03-03,74,51 ,93,44
Canyon Lake (Mormon Flat Dam),95,"1,657.66","55,178",2.84,"2,674",-533,0.00,2014-03-03,74,51 ,93,44
Saguaro Lake (Stewart Mountain Dam),92,"1,524.46","64,166",4.54,"5,599",12,0.00,2014-03-03,74,51 ,93,44
Total Salt system,57,,"1,156,114",,"869,684","2,419",,2014-03-03,74,51 ,93,44
Horseshoe Lake (Horseshoe Dam),41,"1,996.59","44,247",29.41,"64,970","1,853",0.08,2014-03-03,74,51 ,93,44
Bartlett Lake (Bartlett Dam),53,"1,761.69","94,864",36.31,"83,322",-145,0.04,2014-03-03,74,51 ,93,44
Total Verde system,48,,"139,111",,"148,292","1,708",,2014-03-03,74,51 ,93,44
Total Reservoir System,56,,"1,295,225",,"1,017,976","4,127",,2014-03-03,74,51 ,93,44
Total system year ago,57,,,,,,,2014-03-03,74,51 ,93,44
Roosevelt Lake (Roosevelt Dam),49,"2,102.68","804,743",48.32,"848,300","1,549",0.00,2014-03-04,74,52 ,83,33
Apache Lake (Horse Mesa Dam),95,"1,909.58","233,550",4.42,"11,588",-26,0.00,2014-03-04,74,52 ,83,33
Canyon Lake (Mormon Flat Dam),96,"1,657.89","55,392",2.61,"2,460",214,0.00,2014-03-04,74,52 ,83,33
Saguaro Lake (Stewart Mountain Dam),92,"1,524.46","64,166",4.54,"5,599",0,0.00,2014-03-04,74,52 ,83,33
Total Salt system,57,,"1,157,851",,"867,947","1,737",,2014-03-04,74,52 ,83,33
Horseshoe Lake (Horseshoe Dam),44,"1,998.96","48,486",27.04,"60,731","4,239",0.00,2014-03-04,74,52 ,83,33
Bartlett Lake (Bartlett Dam),53,"1,761.47","94,463",36.53,"83,723",-401,0.00,2014-03-04,74,52 ,83,33
Total Verde system,50,,"142,949",,"144,454","3,838",,2014-03-04,74,52 ,83,33
Total Reservoir System,56,,"1,300,800",,"1,012,401","5,575",,2014-03-04,74,52 ,83,33
Total system year ago,57,,,,,,,2014-03-04,74,52 ,83,33
Roosevelt Lake (Roosevelt Dam),49,"2,102.80","806,422",48.20,"846,621","1,679",0.00,2014-03-05,74,52 ,72,29
Apache Lake (Horse Mesa Dam),95,"1,909.79","234,094",4.21,"11,044",544,0.00,2014-03-05,74,52 ,72,29
Canyon Lake (Mormon Flat Dam),95,"1,657.35","54,889",3.15,"2,963",-503,0.00,2014-03-05,74,52 ,72,29
Saguaro Lake (Stewart Mountain Dam),92,"1,524.45","64,154",4.55,"5,611",-12,0.00,2014-03-05,74,52 ,72,29
Total Salt system,57,,"1,159,559",,"866,239","1,708",,2014-03-05,74,52 ,72,29
Horseshoe Lake (Horseshoe Dam),47,"2,000.48","51,279",25.52,"57,938","2,793",0.00,2014-03-05,74,52 ,72,29
Bartlett Lake (Bartlett Dam),53,"1,761.27","94,098",36.73,"84,088",-365,0.00,2014-03-05,74,52 ,72,29
Total Verde system,51,,"145,377",,"142,026","2,428",,2014-03-05,74,52 ,72,29
Total Reservoir System,56,,"1,304,936",,"1,008,265","4,136",,2014-03-05,74,52 ,72,29
Total system year ago,57,,,,,,,2014-03-05,74,52 ,72,29
Roosevelt Lake (Roosevelt Dam),49,"2,102.85","807,072",48.15,"845,971",650,0.00,2014-03-06,74,52 ,72,15
Apache Lake (Horse Mesa Dam),95,"1,909.75","233,990",4.25,"11,148",-104,0.00,2014-03-06,74,52 ,72,15
Canyon Lake (Mormon Flat Dam),94,"1,656.96","54,525",3.54,"3,327",-364,0.00,2014-03-06,74,52 ,72,15
Saguaro Lake (Stewart Mountain Dam),93,"1,524.78","64,551",4.22,"5,214",397,0.00,2014-03-06,74,52 ,72,15
Total Salt system,57,,"1,160,138",,"865,660",579,,2014-03-06,74,52 ,72,15
Horseshoe Lake (Horseshoe Dam),49,"2,001.48","53,145",24.52,"56,072","1,866",0.00,2014-03-06,74,52 ,72,15
Bartlett Lake (Bartlett Dam),53,"1,761.06","93,716",36.94,"84,470",-382,0.00,2014-03-06,74,52 ,72,15
Total Verde system,51,,"146,861",,"140,542","1,484",,2014-03-06,74,52 ,72,15
Total Reservoir System,57,,"1,306,999",,"1,006,202","2,063",,2014-03-06,74,52 ,72,15
Total system year ago,57,,,,,,,2014-03-06,74,52 ,72,15
Roosevelt Lake (Roosevelt Dam),49,"2,102.98","808,964",48.02,"844,079","1,892",0.00,2014-03-07,75,52 ,53,17
Apache Lake (Horse Mesa Dam),95,"1,909.73","233,939",4.27,"11,199",-51,0.00,2014-03-07,75,52 ,53,17
Canyon Lake (Mormon Flat Dam),95,"1,657.41","54,945",3.09,"2,907",420,0.00,2014-03-07,75,52 ,53,17
Saguaro Lake (Stewart Mountain Dam),92,"1,524.48","64,190",4.52,"5,575",-361,0.00,2014-03-07,75,52 ,53,17
Total Salt system,57,,"1,162,038",,"863,760","1,900",,2014-03-07,75,52 ,53,17
Horseshoe Lake (Horseshoe Dam),50,"2,002.13","54,369",23.87,"54,848","1,224",0.00,2014-03-07,75,52 ,53,17
Bartlett Lake (Bartlett Dam),52,"1,760.86","93,355",37.14,"84,831",-361,0.00,2014-03-07,75,52 ,53,17
Total Verde system,51,,"147,724",,"139,679",863,,2014-03-07,75,52 ,53,17
